0011 0100 0001 0101 0000 0000 0000 1101	1	1 0101	0000 0000 0000 0000 0000 0000 0000 1101	0	0 0011	0000 0000 0000 0000 0000 0000 0000 0000
0011 0100 0000 0110 0000 0000 0001 1110	1	0 0110	0000 0000 0000 0000 0000 0000 0001 1110	0	0 0111	0000 0000 0000 0000 0000 0000 0000 0000
0011 0100 0000 1100 0000 0000 0000 1110	1	0 1100	0000 0000 0000 0000 0000 0000 0000 1110	0	0 0011	0000 0000 0000 0000 0000 0000 0000 0000
0011 0100 0000 0101 0000 0000 0001 0110	1	0 0101	0000 0000 0000 0000 0000 0000 0001 0110	0	0 0101	0000 0000 0000 0000 0000 0000 0000 0000
0011 0100 0000 1000 0000 0000 0001 0000	1	0 1000	0000 0000 0000 0000 0000 0000 0001 0000	0	0 0100	0000 0000 0000 0000 0000 0000 0000 0000
0011 0100 0000 0100 0000 0000 0000 0010	1	0 0100	0000 0000 0000 0000 0000 0000 0000 0010	0	0 0000	0000 0000 0000 0000 0000 0000 0000 0000
0011 0100 0001 0100 0000 0000 0001 1011	1	1 0100	0000 0000 0000 0000 0000 0000 0001 1011	0	0 0110	0000 0000 0000 0000 0000 0000 0000 0000
0011 0100 0000 0011 0000 0000 0001 1110	1	0 0011	0000 0000 0000 0000 0000 0000 0001 1110	0	0 0111	0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0111 0101 1101 0000 0010 0001	1	1 1010	0000 0000 0000 0000 0000 0000 0010 1011	0	0 1010	0000 0000 0000 0000 0000 0000 0000 1101
0001 0001 1110 0110 0000 0000 0000 0001	0	0 0000	0000 0000 0000 0000 0000 0000 0000 0000	0	0 0000	0000 0000 0000 0000 0000 0000 0001 1110
